shortest_path,startpoint_id,endpoint_id,opt1_id,opt2_id,correct_choice
2,1,3,2,8,2
2,1,4,2,8,2
2,1,9,8,2,8
2,1,10,8,2,8
2,2,5,3,1,3
2,2,5,4,1,4
2,2,6,4,1,4
2,2,6,4,3,4
2,2,8,1,3,1
2,2,8,1,4,1
2,3,1,2,4,2
2,3,1,2,5,2
2,3,6,4,2,4
2,3,6,4,5,4
2,3,7,5,2,5
2,3,7,5,4,5
2,4,1,2,3,2
2,4,1,2,5,2
2,4,1,2,6,2
2,4,7,5,2,5
2,4,7,5,3,5
2,4,7,6,2,6
2,4,7,6,3,6
2,5,2,3,7,3
2,5,2,4,7,4
2,5,6,4,3,4
2,5,6,7,3,7
2,6,2,4,7,4
2,6,3,4,7,4
2,7,3,5,6,5
2,8,2,1,9,1
2,8,2,1,10,1
2,8,11,9,1,9
2,8,11,9,10,9
2,8,12,10,1,10
2,8,12,10,9,10
2,9,1,8,11,8
2,9,10,8,11,8
2,9,12,11,8,11
2,9,13,11,8,11
2,10,1,8,12,8
2,10,9,8,12,8
2,10,11,12,8,12
2,10,13,12,8,12
2,11,8,9,12,9
2,11,8,9,13,9
2,11,10,12,9,12
2,11,10,12,13,12
2,12,8,10,11,10
2,12,8,10,13,10
2,12,9,11,10,11
2,12,9,11,13,11
2,13,9,11,12,11
2,13,10,12,11,12
3,1,5,2,8,2
3,1,6,2,8,2
3,1,11,8,2,8
3,1,12,8,2,8
3,2,7,3,1,3
3,2,7,4,1,4
3,2,9,1,3,1
3,2,9,1,4,1
3,2,10,1,3,1
3,2,10,1,4,1
3,3,8,2,4,2
3,3,8,2,5,2
3,4,8,2,3,2
3,4,8,2,5,2
3,4,8,2,6,2
3,5,1,3,7,3
3,5,1,4,7,4
3,6,1,4,7,4
3,8,3,1,9,1
3,8,3,1,10,1
3,8,4,1,9,1
3,8,4,1,10,1
3,8,13,9,1,9
3,8,13,10,1,10
3,9,2,8,11,8
3,10,2,8,12,8
3,11,1,9,12,9
3,11,1,9,13,9
3,12,1,10,11,10
3,12,1,10,13,10
4,1,7,2,8,2
4,1,13,8,2,8
4,2,11,1,3,1
4,2,11,1,4,1
4,2,12,1,3,1
4,2,12,1,4,1
4,3,9,2,4,2
4,3,9,2,5,2
4,3,10,2,4,2
4,3,10,2,5,2
4,4,9,2,3,2
4,4,9,2,5,2
4,4,9,2,6,2
4,4,10,2,3,2
4,4,10,2,5,2
4,4,10,2,6,2
4,5,8,3,7,3
4,5,8,4,7,4
4,6,8,4,7,4
4,8,5,1,9,1
4,8,5,1,10,1
4,8,6,1,9,1
4,8,6,1,10,1
4,9,3,8,11,8
4,9,4,8,11,8
4,10,3,8,12,8
4,10,4,8,12,8
4,11,2,9,12,9
4,11,2,9,13,9
4,12,2,10,11,10
4,12,2,10,13,10
